CATEGORIA;CLASSE;TIPOLOGIA DOCUMENTARIA;CONSERVAZIONE
10;1;TRATTAMENTI FITOSANITARI E DI DISINFESTAZIONE: UN FASC. PER CIASCUN INTERVENTO;1 ANNO
10;5;GESTIONE DEI RICOVERI E DEGLI EVENTI CONNESSI: UN FASC. PER;3 ANNI
11;1;ATTI ALLEGATI PER REGISTRAZIONI;=
11;1;ATTI PER ANNOTAZIONI SUI REGISTRI DI STATO CIVILE: UN FASC. PER CIASCUN PROCEDIMENTO;10 ANNI
11;1;COMUNICAZIONE DEI NATI ALL’AGENZIA PER LE ENTRATE: UN FASC. PER CIASCUN PERIODO;1 ANNO
11;1;REGISTRO DEI MATRIMONI: REPERTORIO ANNUALE;PERMANENTE
11;1;REGISTRO DEI MORTI: REPERTORIO ANNUALE;PERMANENTE
11;1;REGISTRO DEI NATI: REPERTORIO ANNUALE;PERMANENTE
11;1;REGISTRO DI CITTADINANZA: REPERTORIO ANNUALE;PERMANENTE, SE RECANTI REGISTRAZIONI
11;2;AIRE: UN FASC. PER CIASCUNA PERSONA;PERMANENTE
11;2;APR 4: ISCRIZIONI ANAGRAFICHE: UN FASC. PER CIASCUNA PERSONA;PERMANENTE
11;2;CAMBI DI ABITAZIONE E RESIDENZA: UN FASC. PER CIASCUNA PERSONA;10 ANNI
11;2;CANCELLAZIONI: UN FASC. PER CIASCUNA PERSONA;10 ANNI
11;2;CARTE D’IDENTITÀ SCADUTE E RICONSEGNATE: UN FASC. PER CIASCUNA PERSONA;5 ANNI
11;2;CARTEGGIO CON LA CORTE D’APPELLO PER LA FORMAZIONE DEGLI ALBI DEI;3 ANNI DALL’ULTIMA REVISIONE
11;2;CARTELLINI PER CARTE D’IDENTITÀ: UNO PER CIASCUNA PERSONA;1 ANNO
11;2;CORRISPONDENZA CON ALTRE AMMINISTRAZIONI PER RILASCIO E TRASMISSIONE DOCUMENTI: UN FASC. PER CIASCUN PERIODO (MESE O ANNO);1 ANNO
11;2;GIUDICI POPOLARI: UN FASC. PER CIASCUN PERIODO;
11;2;REGISTRO DELLA POPOLAZIONE: SU BASE DI DATI;PERMANENTE
11;2;RICHIESTE CERTIFICATI: UN FASC. PER CIASCUN PERIODO (MESE O ANNO);1 ANNO
11;3;ATTI PREPARATORI E ORGANIZZATIVI;3 ANNI
11;3;SCHEDONI STATISTICI DEL CENSIMENTO;"SI CONSERVANO QUELLI DELL’ULTIMO CENSIMENTO; QUELLI DEL PRECEDENTE SI SCARTANO DOPO 1 ANNO DALL’ULTIMO"
11;4;REGISTRI DELLA DISTRIBUZIONE TOPOGRAFICA DELLE TOMBE CON ANNESSE SCHEDE ONOMASTICHE;PERMANENTE
11;4;REGISTRI DI CREMAZIONE;PERMANENTE
11;4;REGISTRI DI ESTUMULAZIONE;PERMANENTE
11;4;REGISTRI DI ESUMAZIONE;PERMANENTE
11;4;REGISTRI DI SEPPELLIMENTO;PERMANENTE
11;4;REGISTRI DI TUMULAZIONE;PERMANENTE
11;4;TRASFERIMENTO DELLE SALME: UN FASC. PER CIASCUN TRASPORTO;50 ANNI
12;1;ALBO DEGLI SCRUTATORI: UN ELENCO PER CIASCUNA ELEZIONE;5 ANNI
12;1;ALBO DEI PRESIDENTI DI SEGGIO: UN ELENCO PER CIASCUNA ELEZIONE;5 ANNI
12;2;CARTEGGIO CONCERNENTE LA TENUTA E LA REVISIONE DELLE LISTE ELETTORALI;5 ANNI DOPO LA REDAZIONE DELLA SUCCESSIVA
12;2;COPIA DEI VERBALI DELLA COMMISSIONE ELETTORALE MANDAMENTALE IN ORDINE ALLE OPERAZIONI E DELIBERAZIONI ADOTTATE DALLA COMMISSIONE ELETTORALE COMUNALE;5 ANNI
12;2;ELENCHI RECANTI LE PROPOSTE DI VARIAZIONE DELLE LISTE ELETTORALI;5 ANNI DOPO LA REDAZIONE DELLA SUCCESSIVA
12;2;FASC. PERSONALI DEGLI ELETTORI: UN FASC. PER CIASCUN ELETTORE;5 ANNI DOPO LA CANCELLAZIONE DALLA LISTA
12;2;LISTE GENERALI;1 ANNO DOPO DELLA SUCCESSIVA
12;2;LISTE SEZIONALI;1 ANNO DOPO DELLA SUCCESSIVA
12;2;SCHEDE DEGLI SCHEDARI SEZIONALI;5 ANNI DOPO LA REDAZIONE DELLA SUCCESSIVA
12;2;SCHEDE DELLO SCHEDARIO GENERALE;5 ANNI DOPO LA REDAZIONE DELLA SUCCESSIVA
12;2;VERBALI DELLA COMMISSIONE ELETTORALE COMUNALE;PERMANENTE
12;3;ATTI RELATIVI ALLA COSTITUZIONE E ARREDAMENTO DEI SEGGI;5 ANNI
12;3;CERTIFICATI ELETTORALI NON RITIRATI;2 ANNI
12;3;CONVOCAZIONE DEI COMIZI ELETTORALI: UN FASC. PER CIASCUNA ELEZIONE;PERMANENTE
12;3;ISTRUZIONI ELETTORALI A STAMPA;2 ANNI
12;3;PACCHI SCORTA ELEZIONI;2 ANNI
12;3;PRESENTAZIONE DELLE LISTE: CARTEGGIO;5 ANNI
12;3;PRESENTAZIONE DELLE LISTE: MANIFESTO;PERMANENTE
12;3;SCHEDE;=
12;3;VERBALI DEI PRESIDENTI DI SEGGIO;=
12;4;ATTI PREPARATORI;5 ANNI
12;4;ATTI RELATIVI ALLA COSTITUZIONE E ARREDAMENTO DEI SEGGI;5 ANNI
12;4;SCHEDE;=
12;4;VERBALI DEI PRESIDENTI DI SEGGIO;=
12;5;RACCOLTA DI FIRME PER REFERENDUM PREVISTI DALLO STATUTO: UN FASC. PER CIASCUNA INIZIATIVA;5 ANNI DOPO IL REFERENDUM
2;1;FASC. PERSONALE CHE DURA QUANTO IL MANDATO;PERMANENTE
2;10;FASC. PERSONALE;PERMANENTE
2;11;FASC. PERSONALE;PERMANENTE
2;14;UN FASC. PER OGNI ORGANO;PERMANENTE
2;15;UN FASC. PER OGNI ORGANO;PERMANENTE
2;3;BOLLETTINO DELLA SITUAZIONE PATRIMONIALE DEI TITOLARI DI CARICHE ELETTIVE E DI CARICHE DIRETTIVE;PERMANENTE
2;3;CONVOCAZIONI DEL CONSIGLIO E ODG;1 ANNO
2;3;FASC. PERSONALI: UN FASC. PER OGNI CONSIGLIERE CHE DURA QUANTO DURA IL MANDATO;PERMANENTE
2;3;INTERROGAZIONI E MOZIONI CONSILIARI;PERMANENTE
2;4;FASC. PERSONALE CHE DURA QUANTO IL MANDATO;PERMANENTE
2;5;VERBALI DELLA CONFERENZA;PERMANENTE
